Studentas1,1.8,b,c,abf,f,f,b,ace,abcd,e,d,b,adf,ce,de,bef,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studentas2,1.7,a,d,ef,f,f,d,be,abcd,ae,ad,b,af,ce,be,bd,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studentas3,1.6,b,d,abf,f,c,a,e,c,ac,b,b,af,e,b,b,a,,Studentas1,1.8,b,c,abf,f,f,b,ace,abcd,e,d,b,adf,ce,de,bef,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studentas4,1.5,b,f,be,de,abc,d,bf,abcde,be,d,b,cdf,e,e,bf,d,,Studentas2,1.7,a,d,ef,f,f,d,be,abcd,ae,ad,b,af,ce,be,bd,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studentas5,1.4,a,a,bef,f,a,d,ae,abcde,ae,abd,b,af,e,abcde,bf,a,,,,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studentas6,1.3,a,bc,bef,f,f,d,be,abcdeg,abe,ab,b,adf,ce,be,bdf,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studentas7,1.2,a,b,bef,f,e,d,ae,abcd,e,ad,b,df,ce,be,bdf,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studentas8,1.1,d,d,abef,def,e,b,bf,ce,b,c,d,abcdf,cd,ab,bdf,a,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studentas9,2.8,a,c,bef,f,f,d,abe,abcde,abe,abd,b,af,bc,be,bdf,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studentas10,2.7,acd,acd,abce,a,bc,d,bcd,acdefh,abce,cd,b,acf,abce,d,bdef,c,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studentas11,2.6,f,d,ef,f,f,d,aef,abce,b,a,b,adf,e,e,bd,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studentas12,2.5,a,b,abef,f,f,d,abe,abcde,e,ab,b,a,ce,be,bdf,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studentas13,2.4,a,b,abef,f,f,d,abe,abcde,b,a,b,af,ce,be,bdf,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studentas14,2.3,a,b,bef,f,f,d,ce,bcde,ab,c,b,acdf,e,a,bf,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studentas15,2.2,c,c,bef,f,abe,a,ace,abcde,be,cd,b,acf,ce,ab,bef,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studentas16,2.1,a,c,abef,f,f,d,be,c,b,d,c,f,c,e,bd,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studentas17,3.1,bc,b,bcef,ad,bcd,b,ce,abcde,ab,bd,b,acf,f,ade,bdf,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studentas18,3.2,b,d,abef,d,d,d,ac,abcde,e,d,b,af,ac,be,bf,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studentas19,3.3,a,ab,aef,f,f,d,be,abcde,be,d,b,af,e,be,bdf,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
